Id,flightNo,date,departure,destination,weekday,month
1,BERO,2017-11-23,Berlin,Rome,Thursday,November
2,BEPA,2017-11-23,Berlin,Paris,Thursday,November
3,BELO,2017-11-23,Berlin,London,Thursday,November
4,BEDU,2017-11-23,Berlin,Dublin,Thursday,November
5,ROBE,2017-11-23,Rome,Berlin,Thursday,November
6,ROPA,2017-11-23,Rome,Paris,Thursday,November
7,ROLO,2017-11-23,Rome,London,Thursday,November
8,RODU,2017-11-23,Rome,Dublin,Thursday,November
9,PALO,2017-11-23,Paris,London,Thursday,November
10,PADU,2017-11-23,Paris,Dublin,Thursday,November
11,PABE,2017-11-23,Paris,Berlin,Thursday,November
12,PARO,2017-11-23,Paris,Rome,Thursday,November
13,LODU,2017-11-23,London,Dublin,Thursday,November
14,LOBE,2017-11-23,London,Berlin,Thursday,November
15,LORO,2017-11-23,London,Rome,Thursday,November
16,LOPA,2017-11-23,London,Paris,Thursday,November
17,DUBE,2017-11-23,Dublin,Berlin,Thursday,November
18,DURO,2017-11-23,Dublin,Rome,Thursday,November
19,DUPA,2017-11-23,Dublin,Paris,Thursday,November
20,DULO,2017-11-23,Dublin,London,Thursday,November
21,BERO,2017-11-24,Berlin,Rome,Friday,November
22,BEPA,2017-11-24,Berlin,Paris,Friday,November
23,BELO,2017-11-24,Berlin,London,Friday,November
24,BEDU,2017-11-24,Berlin,Dublin,Friday,November
25,ROBE,2017-11-24,Rome,Berlin,Friday,November
26,ROPA,2017-11-24,Rome,Paris,Friday,November
27,ROLO,2017-11-24,Rome,London,Friday,November
28,RODU,2017-11-24,Rome,Dublin,Friday,November
29,PALO,2017-11-24,Paris,London,Friday,November
30,PADU,2017-11-24,Paris,Dublin,Friday,November
31,PABE,2017-11-24,Paris,Berlin,Friday,November
32,PARO,2017-11-24,Paris,Rome,Friday,November
33,LODU,2017-11-24,London,Dublin,Friday,November
34,LOBE,2017-11-24,London,Berlin,Friday,November
35,LORO,2017-11-24,London,Rome,Friday,November
36,LOPA,2017-11-24,London,Paris,Friday,November
37,DUBE,2017-11-24,Dublin,Berlin,Friday,November
38,DURO,2017-11-24,Dublin,Rome,Friday,November
39,DUPA,2017-11-24,Dublin,Paris,Friday,November
40,DULO,2017-11-24,Dublin,London,Friday,November
41,BERO,2017-11-25,Berlin,Rome,Saturday,November
42,BEPA,2017-11-25,Berlin,Paris,Saturday,November
43,BELO,2017-11-25,Berlin,London,Saturday,November
44,BEDU,2017-11-25,Berlin,Dublin,Saturday,November
45,ROBE,2017-11-25,Rome,Berlin,Saturday,November
46,ROPA,2017-11-25,Rome,Paris,Saturday,November
47,ROLO,2017-11-25,Rome,London,Saturday,November
48,RODU,2017-11-25,Rome,Dublin,Saturday,November
49,PALO,2017-11-25,Paris,London,Saturday,November
50,PADU,2017-11-25,Paris,Dublin,Saturday,November
51,PABE,2017-11-25,Paris,Berlin,Saturday,November
52,PARO,2017-11-25,Paris,Rome,Saturday,November
53,LODU,2017-11-25,London,Dublin,Saturday,November
54,LOBE,2017-11-25,London,Berlin,Saturday,November
55,LORO,2017-11-25,London,Rome,Saturday,November
56,LOPA,2017-11-25,London,Paris,Saturday,November
57,DUBE,2017-11-25,Dublin,Berlin,Saturday,November
58,DURO,2017-11-25,Dublin,Rome,Saturday,November
59,DUPA,2017-11-25,Dublin,Paris,Saturday,November
60,DULO,2017-11-25,Dublin,London,Saturday,November
61,BERO,2017-11-26,Berlin,Rome,Sunday,November
62,BEPA,2017-11-26,Berlin,Paris,Sunday,November
63,BELO,2017-11-26,Berlin,London,Sunday,November
64,BEDU,2017-11-26,Berlin,Dublin,Sunday,November
65,ROBE,2017-11-26,Rome,Berlin,Sunday,November
66,ROPA,2017-11-26,Rome,Paris,Sunday,November
67,ROLO,2017-11-26,Rome,London,Sunday,November
68,RODU,2017-11-26,Rome,Dublin,Sunday,November
69,PALO,2017-11-26,Paris,London,Sunday,November
70,PADU,2017-11-26,Paris,Dublin,Sunday,November
71,PABE,2017-11-26,Paris,Berlin,Sunday,November
72,PARO,2017-11-26,Paris,Rome,Sunday,November
73,LODU,2017-11-26,London,Dublin,Sunday,November
74,LOBE,2017-11-26,London,Berlin,Sunday,November
75,LORO,2017-11-26,London,Rome,Sunday,November
76,LOPA,2017-11-26,London,Paris,Sunday,November
77,DUBE,2017-11-26,Dublin,Berlin,Sunday,November
78,DURO,2017-11-26,Dublin,Rome,Sunday,November
79,DUPA,2017-11-26,Dublin,Paris,Sunday,November
80,DULO,2017-11-26,Dublin,London,Sunday,November
81,BERO,2017-11-27,Berlin,Rome,Monday,November
82,BEPA,2017-11-27,Berlin,Paris,Monday,November
83,BELO,2017-11-27,Berlin,London,Monday,November
84,BEDU,2017-11-27,Berlin,Dublin,Monday,November
85,ROBE,2017-11-27,Rome,Berlin,Monday,November
86,ROPA,2017-11-27,Rome,Paris,Monday,November
87,ROLO,2017-11-27,Rome,London,Monday,November
88,RODU,2017-11-27,Rome,Dublin,Monday,November
89,PALO,2017-11-27,Paris,London,Monday,November
90,PADU,2017-11-27,Paris,Dublin,Monday,November
91,PABE,2017-11-27,Paris,Berlin,Monday,November
